DeviceTag: Xsens XIII,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Quaternion),StartTime: 2026-07-17 11:13:52.707,© Movella Technologies B.V. 2005-2026
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
14474497,0.4873,0.5938,-0.2936,0.5690,-0.1456,-0.4059,-0.0953,0
14474664,0.4880,0.5932,-0.2941,0.5688,-0.2200,-0.3289,-0.1919,0
14474830,0.4884,0.5928,-0.2946,0.5686,-0.2597,-0.2941,-0.2007,0
14474997,0.4888,0.5924,-0.2952,0.5683,-0.1855,-0.1445,-0.0913,0
14475164,0.4890,0.5923,-0.2958,0.5679,-0.2027,-0.1308,-0.1033,0
14475330,0.4889,0.5927,-0.2963,0.5673,-0.2481,-0.3161,-0.1430,0
14475497,0.4889,0.5930,-0.2967,0.5668,-0.1719,-0.5950,-0.0443,0
14475664,0.4892,0.5928,-0.2974,0.5664,-0.1829,-0.5064,0.0455,0
14475830,0.4896,0.5923,-0.2982,0.5661,-0.2669,-0.3261,0.1334,0
14475997,0.4900,0.5918,-0.2991,0.5659,-0.0939,-0.1740,0.1802,0
14476164,0.4904,0.5913,-0.2998,0.5657,0.0855,-0.2219,0.0814,0
14476330,0.4905,0.5912,-0.3003,0.5654,-0.0580,-0.3528,-0.0578,0
14476497,0.4906,0.5910,-0.3006,0.5654,0.0225,-0.5102,0.0631,0
14476664,0.4908,0.5906,-0.3009,0.5655,-0.0640,-0.4289,0.1409,0
14476830,0.4915,0.5895,-0.3013,0.5659,-0.0155,-0.3160,0.2757,0
14476997,0.4923,0.5880,-0.3018,0.5664,0.0112,-0.2388,0.0971,0
14477164,0.4928,0.5869,-0.3023,0.5668,0.1377,-0.2769,-0.1255,0
14477330,0.4929,0.5862,-0.3026,0.5673,0.1055,-0.3060,-0.2306,0
14477497,0.4928,0.5859,-0.3025,0.5678,-0.0267,-0.3594,-0.2834,0
14477664,0.4928,0.5855,-0.3024,0.5682,-0.3185,-0.3165,-0.2710,0
14477830,0.4931,0.5850,-0.3023,0.5686,-0.4105,-0.3316,-0.0619,0
14477997,0.4934,0.5845,-0.3021,0.5689,-0.1975,-0.3729,0.1394,0
14478164,0.4940,0.5838,-0.3022,0.5691,-0.1972,-0.3517,0.1374,0
14478330,0.4947,0.5829,-0.3029,0.5691,-0.4324,-0.3506,0.1184,0
