DeviceTag: Xsens_IX,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2026-07-17 10:50:31.863,© Movella Technologies B.V. 2005-2026
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
691678,0.8488,0.1754,-0.3411,0.3639,-0.0392,-0.5237,0.0772,0
691845,0.8488,0.1754,-0.3411,0.3639,-0.0426,-0.5542,0.1046,0
692011,0.8488,0.1753,-0.3411,0.3639,-0.0418,-0.5204,0.0846,0
692178,0.8488,0.1752,-0.3411,0.3639,-0.0472,-0.5278,0.0869,0
692345,0.8489,0.1751,-0.3411,0.3639,-0.0423,-0.5192,0.0898,0
692511,0.8489,0.1751,-0.3411,0.3639,-0.0284,-0.5206,0.0659,0
692678,0.8489,0.1750,-0.3411,0.3638,-0.0355,-0.5117,0.0765,0
692845,0.8490,0.1749,-0.3410,0.3638,-0.0442,-0.5257,0.0882,0
693011,0.8490,0.1748,-0.3410,0.3638,-0.0369,-0.5254,0.0665,0
693178,0.8490,0.1747,-0.3410,0.3638,-0.0395,-0.5029,0.0680,0
693345,0.8491,0.1746,-0.3410,0.3638,-0.0463,-0.5110,0.0851,0
693511,0.8491,0.1746,-0.3409,0.3638,-0.0386,-0.5048,0.0860,0
693678,0.8491,0.1745,-0.3409,0.3638,-0.0421,-0.4974,0.0797,0
693845,0.8491,0.1744,-0.3409,0.3638,-0.0334,-0.5018,0.0857,0
694011,0.8492,0.1743,-0.3409,0.3638,-0.0406,-0.4951,0.0827,0
694178,0.8492,0.1742,-0.3408,0.3637,-0.0209,-0.4973,0.0748,0
694345,0.8493,0.1741,-0.3408,0.3637,-0.0281,-0.5022,0.1011,0
694511,0.8493,0.1740,-0.3408,0.3636,-0.0338,-0.5126,0.0871,0
694678,0.8493,0.1739,-0.3408,0.3636,-0.0376,-0.4882,0.0761,0
694845,0.8494,0.1738,-0.3408,0.3636,-0.0444,-0.4939,0.0941,0
695011,0.8494,0.1737,-0.3407,0.3636,-0.0295,-0.4878,0.0762,0
695178,0.8495,0.1737,-0.3407,0.3636,-0.0325,-0.4849,0.0770,0
695345,0.8495,0.1736,-0.3407,0.3636,-0.0377,-0.4957,0.0791,0
695511,0.8495,0.1735,-0.3407,0.3635,-0.0280,-0.4831,0.0765,0
695678,0.8496,0.1734,-0.3407,0.3635,-0.0451,-0.4963,0.0839,0
695845,0.8496,0.1733,-0.3406,0.3635,-0.0407,-0.4935,0.0754,0
696011,0.8497,0.1732,-0.3406,0.3634,-0.0439,-0.5021,0.0804,0
696178,0.8497,0.1731,-0.3406,0.3634,-0.0496,-0.4925,0.0838,0
696345,0.8497,0.1730,-0.3406,0.3633,-0.0335,-0.4796,0.0704,0
696512,0.8498,0.1729,-0.3405,0.3633,-0.0346,-0.4864,0.0760,0
696678,0.8498,0.1728,-0.3405,0.3633,-0.0337,-0.4740,0.0772,0
696845,0.8499,0.1727,-0.3405,0.3633,-0.0371,-0.4792,0.0791,0
697012,0.8499,0.1726,-0.3405,0.3632,-0.0375,-0.4812,0.0958,0
697178,0.8500,0.1725,-0.3405,0.3632,-0.0463,-0.4654,0.0749,0
697345,0.8500,0.1724,-0.3404,0.3631,-0.0349,-0.4737,0.0774,0
697512,0.8501,0.1723,-0.3404,0.3631,-0.0234,-0.4706,0.0849,0
697678,0.8501,0.1722,-0.3404,0.3631,-0.0280,-0.4749,0.0844,0
697845,0.8501,0.1721,-0.3404,0.3630,-0.0521,-0.4611,0.0726,0
698012,0.8502,0.1720,-0.3403,0.3630,-0.0386,-0.4599,0.0895,0
698178,0.8502,0.1718,-0.3403,0.3630,-0.0357,-0.4723,0.0905,0
698345,0.8503,0.1717,-0.3403,0.3629,-0.0294,-0.4528,0.0710,0
698512,0.8503,0.1716,-0.3403,0.3629,-0.0387,-0.4594,0.0851,0
698678,0.8504,0.1715,-0.3402,0.3629,-0.0550,-0.4649,0.0984,0
698845,0.8504,0.1714,-0.3402,0.3628,-0.0333,-0.4534,0.0951,0
699012,0.8505,0.1713,-0.3402,0.3628,-0.0236,-0.4383,0.0807,0
699178,0.8505,0.1712,-0.3402,0.3627,-0.0464,-0.4444,0.0848,0
699345,0.8617,0.1457,-0.3333,0.3537,-0.0007,0.0065,0.0757,0
699512,0.8618,0.1457,-0.3333,0.3536,-0.0029,0.0029,0.0837,0
699678,0.8618,0.1457,-0.3333,0.3536,-0.0112,-0.0069,0.0967,0
699845,0.8618,0.1457,-0.3333,0.3536,-0.0057,-0.0023,0.0838,0
